SolCAP.T.number	Market.Class	PC1	PC2	PC3
153	SCT_0173	Fresh market	8.09362496423906	-31.4797909439131	-5.03654237264441
154	SCT_0174	Fresh market	4.64917072793353	-28.2233445484766	-4.48383610782838
155	SCT_0175	Fresh market	7.88512413827185	-27.7424146407666	3.83419557528693
156	SCT_0176	Fresh market	6.13013706512439	-28.2577085830599	-9.64419453265666
157	SCT_0177	Fresh market	7.64090406951131	-25.5026533380497	4.5020952724131
158	SCT_0178	Fresh market	4.01777483866615	-29.5354550027909	-10.6623494767242
159	SCT_0179	Fresh market	5.07835996963567	-29.9460760924362	-12.1638717588793
160	SCT_0180	Fresh market	1.43832993564356	-26.350646348128	2.68340673443507
161	SCT_0181	Fresh market	6.83251641797527	-28.4515963100117	-2.64118517089622
162	SCT_0182	Fresh market	4.93141324193245	-28.0570395958997	-4.43363660619873
163	SCT_0183	Fresh market	4.11229617724435	-28.4694357063438	-5.58468865181538
164	SCT_0184	Fresh market	10.2582344762244	-26.4995036193514	-1.10723654723742
165	SCT_0185	Fresh market	4.60912906836102	-30.525265073598	-4.69743535977025
166	SCT_0186	Fresh market	16.6610537880688	-12.2597880526616	-10.4990011986626
167	SCT_0187	Fresh market	2.55443302609386	-24.8463330063637	-10.2204508168674
168	SCT_0188	Fresh market	15.5274214565768	-13.5332942519957	-17.3053642910759
169	SCT_0189	Fresh market	0.0676147940392839	-24.3691941148801	2.63686538647294
170	SCT_0190	Fresh market	4.55121150226722	-27.5071582429383	-2.15731546508579
171	SCT_0191	Fresh market	5.78910277134688	-25.4507204901327	-2.71156029636468
172	SCT_0192	Fresh market	6.38299055389774	-24.5655067570714	2.63531451667273
173	SCT_0193	Fresh market	2.83601457151219	-26.3037297240642	1.42731579860097
174	SCT_0194	Fresh market	15.6651316104334	-11.9978930262028	-11.176373335532
175	SCT_0195	Fresh market	4.11655855403173	-26.760773387563	-2.71819765191197
176	SCT_0196	Fresh market	1.96546503071677	-27.1382540291817	4.2701305779091
177	SCT_0197	Fresh market	2.8551051750755	-23.7581564435433	-2.47469799005011
178	SCT_0198	Fresh market	-5.14403296066797	-25.024139336815	-8.92626622248944
179	SCT_0199	Fresh market	2.97857494994101	-17.6184833276327	-9.44760401994893
180	SCT_0201	Fresh market	1.04174447311267	-28.2630271867597	-0.324733044460834
181	SCT_0202	Fresh market	-0.794464825848549	-31.5502565461422	-8.52179887067044
182	SCT_0203	Fresh market	-3.04144528347658	-18.19779730765	4.006712973407
183	SCT_0204	Fresh market	3.40603972016679	-27.2636201514967	-4.20679436723456
184	SCT_0205	Fresh market	8.13642761646175	-27.1009744076281	1.75363511029228
185	SCT_0206	Fresh market	2.30419789062871	-29.0945414128347	0.288626586293941
186	SCT_0207	Fresh market	0.460879679775418	-26.5680965129037	2.49703887095156
187	SCT_0208	Fresh market	6.84719121654968	-28.9450488764093	0.753279691895716
188	SCT_0209	Fresh market	14.482094041665	-13.4591425896387	-8.58890456333713
189	SCT_0211	Fresh market	3.51725346171759	-28.5475988168046	-7.47661245175484
190	SCT_0212	Fresh market	3.32769132452339	-30.0643068468041	-3.2324047382075
191	SCT_0214	Fresh market	12.3437698365572	-8.53973266137564	-1.86398524255166
192	SCT_0215	Fresh market	3.9873652022167	-27.8783806341064	-4.76115074833229
193	SCT_0218	Fresh market	25.6947092139086	10.2447031073392	3.91644430885535
194	SCT_0219	Fresh market	20.7906069164383	7.07455230953529	5.177512218208
195	SCT_0220	Fresh market	26.6483152292872	11.7208681400793	5.58488233847398
196	SCT_0222	Fresh market	5.65824708658572	-3.66627580986548	1.64486442228639
197	SCT_0224	Fresh market	22.9576844858459	2.42081965063836	1.2220042146894
198	SCT_0225	Fresh market	25.0300998185525	8.19215004922465	3.89833815593398
199	SCT_0226	Fresh market	11.9314526430767	-3.84582388990007	-16.1875267187759
200	SCT_0227	Fresh market	2.70995457067503	-31.0907827620783	-9.75561734703558
201	SCT_0228	Fresh market	18.8346129201285	-9.46799564908557	-0.213615800167773
202	SCT_0229	Fresh market	-8.69332184411364	-29.778975353332	-10.0469545634648
203	SCT_0230	Fresh market	21.9319210019001	0.36889737216488	-1.71556687993558
204	SCT_0231	Fresh market	0.81228531650538	-17.3883078485082	-13.7210401738371
205	SCT_0232	Fresh market	1.25656245034665	-26.5848807430318	-5.96974048175386
206	SCT_0233	Fresh market	18.8910381386536	-9.41635186999103	-0.17067357182434
207	SCT_0234	Fresh market	10.2781804579655	1.27066237645733	2.66888208772818
208	SCT_0236	Fresh market	2.87187340348894	-27.5144441316459	-10.9856015448207
209	SCT_0237	Fresh market	-2.08807219520859	-30.3800045448887	-0.670240319175497
210	SCT_0238	Fresh market	-5.76694625986904	-24.8241510704045	-8.21036377583404
211	SCT_0239	Fresh market	-3.07369274642162	-27.3141099894319	-0.513213792655778
212	SCT_0240	Fresh market	0.257382488696655	-27.554777039919	-4.14218218215057
213	SCT_0241	Fresh market	-8.6989845947214	-29.7433168981774	-10.0149088161545
214	SCT_0242	Fresh market	-5.27943661941125	-27.5818566759408	-10.6409044548963
215	SCT_0243	Fresh market	-4.79181871989938	-29.3907187160638	-8.87281748030823
216	SCT_0245	Fresh market	7.14506525596684	-0.124477281038001	-9.49663290199804
217	SCT_0246	Fresh market	0.529850868840951	-30.1002502342908	-1.991304203443
218	SCT_0247	Fresh market	16.5911925264849	-7.36986295282783	-2.6980366203292
219	SCT_0248	Fresh market	17.3254174556795	-9.75756432361346	-1.47597108045799
220	SCT_0249	Fresh market	-6.53912540394473	-24.8620534080986	-4.11095023566019
221	SCT_0251	Fresh market	12.3793672303544	-7.24882902781006	-16.5204073548354
222	SCT_0252	Fresh market	15.6368933049368	-3.2012837904115	-13.5331710989393
223	SCT_0253	Fresh market	4.05029845580768	-23.7807636130671	-11.239905816216
224	SCT_0254	Fresh market	-4.14265670569044	-19.0462689094147	-5.7551848210158
225	SCT_0255	Fresh market	20.5799067597543	-6.17115395630402	-0.124780320078428
226	SCT_0256	Fresh market	21.9785926864589	7.9259779898941	3.80186499259986
227	SCT_0258	Fresh market	24.6549556694613	10.7293693300538	4.41490863596457
228	SCT_0259	Fresh market	3.93069019132381	15.6646759865705	4.8637338695544
229	SCT_0260	Fresh market	10.9811119411991	-7.88523064298871	13.6829608145058
230	SCT_0261	Fresh market	-5.15047329797257	-18.0491610241221	-1.28656166071234
231	SCT_0262	Fresh market	27.1759448610427	12.2025409896863	5.47993984813205
232	SCT_0264	Fresh market	26.3311859427119	10.0757530122928	4.7761888673151
233	SCT_0267	Fresh market	25.816654791494	13.4385993188822	4.9988494467826
234	SCT_0268	Fresh market	-5.29115545645097	-31.1338809162232	-8.94007890769643
235	SCT_0269	Processing	-12.5920420726436	9.21215611450964	1.97531153102478
236	SCT_0270	Fresh market	24.3368201432728	12.5650671694078	3.17574737046509
237	SCT_0271	Fresh market	20.957332241485	1.98442419984877	-1.854503643617
238	SCT_0272	Fresh market	-5.58751823723055	-25.9455946981191	-5.66016057951294
239	SCT_0273	Fresh market	21.5542159725627	7.39173378659969	1.80957344909805
240	SCT_0274	Fresh market	20.3863288210977	6.65708436036912	-1.08824185860855
241	SCT_0275	Fresh market	9.82678981336602	-26.823465781029	-6.72757220107562
242	SCT_0276	Fresh market	14.3348858251917	1.54406991965524	-1.21969639743274
243	SCT_0277	Fresh market	20.7422197664013	6.97033235770266	2.49024774009405
244	SCT_0278	Fresh market	23.1367678199838	6.46106545839591	3.94744103750579
245	SCT_0280	Fresh market	11.2461543902621	8.26958239441021	-2.64160187092543
246	SCT_0281	Fresh market	24.5736187112665	8.15194602630774	3.16337457308919
247	SCT_0285	Vintage	20.2940679002849	8.09710646220065	-2.95361616501215
248	SCT_0286	Vintage	25.5590386631534	9.08340393949194	3.6529642261053
249	SCT_0287	Vintage	24.0682556709498	10.6323639343065	4.77095143008492
250	SCT_0288	Vintage	26.3572425081661	10.8366164668755	4.57492529121425
251	SCT_0290	Vintage	26.1076993821199	10.7150390984496	3.96062799512592
252	SCT_0291	Vintage	25.7318548934416	10.8285440172094	4.79477592771687
253	SCT_0292	Vintage	23.4903311946299	7.9426927153308	3.14457499790505
254	SCT_0293	Vintage	27.267752360448	11.4384454641642	6.16997136724265
255	SCT_0295	Vintage	25.4087693419727	10.6174202602044	4.14535345715085
256	SCT_0296	Vintage	27.1397642463549	8.35795197963853	3.80561136857254
257	SCT_0298	Vintage	25.4550620088562	8.87884453917373	8.23192288344566
258	SCT_0299	Vintage	24.5685951994372	11.5226061582127	4.83054833092151
259	SCT_0300	Vintage	26.8580328586712	10.4682844514423	5.44298585637824
260	SCT_0301	Vintage	26.4984628378124	13.68093849411	6.04637779830104
261	SCT_0302	Vintage	26.3834402819644	11.3845604114798	4.98676271362342
262	SCT_0303	Vintage	22.0759369359498	3.7906630012535	-1.91864299842375
263	SCT_0304	Vintage	26.3088501200609	11.8803448756467	5.33814785210462
264	SCT_0305	Vintage	24.120561202012	11.4586697133698	5.27022839474666
265	SCT_0306	Vintage	26.2342471283389	9.41908419530175	5.14360884722068
266	SCT_0307	Vintage	24.6687716884912	11.6028187440916	5.51079944126696
267	SCT_0308	Vintage	24.4010836966864	10.8697773176563	3.91988313881809
268	SCT_0309	Vintage	26.8007563065772	11.5522432377365	5.76483728939864
269	SCT_0311	Vintage	24.8970972224269	11.4780124397563	5.06068815581653
270	SCT_0312	Vintage	23.7437752266763	12.4889845910255	3.78374516842652
271	SCT_0313	Vintage	27.0700487714916	13.6776284088259	5.55123474951105
272	SCT_0314	Vintage	26.5302858869189	12.8402068879424	6.01870269613677
273	SCT_0316	Vintage	26.0705046722475	13.9166487070338	5.50090402149351
274	SCT_0317	Vintage	25.8767818046812	12.9807546027585	5.69146366279808
275	SCT_0318	Vintage	25.7092946250823	11.3987416082012	4.61136030879304
276	SCT_0319	Vintage	26.4806109937802	13.10344109159	6.04325400687986
277	SCT_0320	Vintage	10.2291718209438	-22.5547756776726	-4.2392374087894
278	SCT_0322	Vintage	26.6876382852189	12.107515120732	5.53942879604616
279	SCT_0324	Vintage	26.1261112861452	13.9574225820214	4.20568955113976
280	SCT_0325	Vintage	26.7013869223777	12.6072733172909	5.68984939407069
