SolCAP.T.number	Market.Class
SCT_0304	Vintage
SCT_0305	Vintage
SCT_0306	Vintage
SCT_0307	Vintage
SCT_0308	Vintage
SCT_0309	Vintage
SCT_0311	Vintage
SCT_0312	Vintage
SCT_0313	Vintage
SCT_0314	Vintage
SCT_0316	Vintage
SCT_0317	Vintage
SCT_0318	Vintage
SCT_0319	Vintage
SCT_0320	Vintage
SCT_0322	Vintage
SCT_0324	Vintage
SCT_0325	Vintage
SCT_0327	Vintage
SCT_0329	Vintage
SCT_0330	Vintage
SCT_0331	Vintage
SCT_0332	Vintage
SCT_0333	Vintage
SCT_0334	Vintage
SCT_0335	Vintage
SCT_0336	Vintage/Processing
SCT_0337	Vintage
SCT_0338	Vintage
SCT_0340	Vintage/Processing
SCT_0357	Vintage
SCT_0358	Vintage
SCT_0359	Vintage
SCT_0360	Vintage
SCT_0361	Vintage
SCT_0362	Vintage
SCT_0363	Vintage
SCT_0364	Vintage
SCT_0365	Vintage
SCT_0366	Vintage
SCT_0369	Vintage
SCT_0479	Vintage
SCT_0480	Vintage
SCT_0482	Vintage
SCT_0483	Vintage
SCT_0168	Cultivated Cherry
SCT_0169	Cultivated Cherry
SCT_0216	Cultivated Cherry
SCT_0217	Cultivated Cherry
SCT_0223	Cultivated Cherry
SCT_0235	Cultivated Cherry
SCT_0244	Cultivated Cherry
SCT_0250	Cultivated Cherry
SCT_0257	Cultivated Cherry
SCT_0263	Cultivated Cherry
SCT_0265	Cultivated Cherry
SCT_0266	Cultivated Cherry
SCT_0289	Cultivated Cherry
SCT_0294	Cultivated Cherry
SCT_0297	Cultivated Cherry
SCT_0310	Cultivated Cherry
SCT_0315	Cultivated Cherry
SCT_0321	Cultivated Cherry
SCT_0323	Cultivated Cherry
SCT_0326	Cultivated Cherry
SCT_0328	Cultivated Cherry
SCT_0343	Cultivated Cherry
SCT_0349	Cultivated Cherry
SCT_0351	Cultivated Cherry
SCT_0354	Cultivated Cherry
SCT_0367	Cultivated Cherry
SCT_0368	Cultivated Cherry
SCT_0339	Latin American Cultivar
SCT_0341	Latin American Cultivar
SCT_0342	Latin American Cultivar
SCT_0345	Latin American Cultivar
SCT_0346	Latin American Cultivar
SCT_0347	Latin American Cultivar
SCT_0348	Latin American Cultivar
SCT_0350	Latin American Cultivar
SCT_0352	Latin American Cultivar
SCT_0353	Latin American Cultivar
SCT_0355	Latin American Cultivar
SCT_0356	Latin American Cultivar
SCT_0382	Wild Cherry
SCT_0394	Wild Cherry
SCT_0395	Wild Cherry
SCT_0396	Wild Cherry
SCT_0398	Wild Cherry
SCT_0399	Wild Cherry
SCT_0400	Wild Cherry
SCT_0402	Wild Cherry
SCT_0403	Wild Cherry
SCT_0408	Wild Cherry
SCT_0409	Wild Cherry
SCT_0410	Wild Cherry
SCT_0411	Wild Cherry
SCT_0412	Wild Cherry
