SolCAP.T.number	Market.Class	PC1	PC2	PC3
1	SCT_0001	Processing	-2.83385326694639	16.6353186365966	17.9973278897585
2	SCT_0002	Processing	-8.07715625904697	27.2022306317331	12.5215248973143
3	SCT_0003	Processing	-0.0522218552344475	14.0145901775222	17.9789365269465
4	SCT_0004	Processing	-1.24779661648876	12.9160420739734	14.9387065565113
5	SCT_0005	Processing	-11.8584018237387	15.8356005763419	-3.94592916574716
6	SCT_0006	Processing	-2.8097287179233	5.53340476307271	-1.85969676638301
7	SCT_0007	Processing	-12.6287777385348	15.7383073198546	-6.80946321745846
8	SCT_0008	Processing	-10.3877432511878	11.2327891661474	-18.8666365057609
9	SCT_0009	Processing	-10.8685935448947	15.7824829802737	-7.62096349503955
10	SCT_0010	Processing	-7.95700920022361	9.83072271129367	-19.2769276782174
11	SCT_0011	Processing	-6.70406002916119	10.206576352213	-7.3891864928794
12	SCT_0012	Processing	-15.1698954449337	15.145614118263	-14.2948505324286
13	SCT_0013	Processing	-12.046837844748	12.6794382803033	-2.95085214177448
14	SCT_0014	Processing	-8.31628917641883	13.4394055402833	-1.91659359815685
15	SCT_0015	Processing	-12.2841517651013	13.5346827324822	-9.85462356573847
16	SCT_0016	Processing	-13.5204291501592	18.0110524857195	-8.72885201439915
17	SCT_0017	Processing	-9.40427462111407	13.6789852423789	-5.65943110807722
18	SCT_0018	Processing	0.770186510854535	4.89890073730471	-3.53209588038949
19	SCT_0019	Processing	-8.0731550638635	26.564846009616	12.3918852779388
20	SCT_0020	Processing	3.08559584964588	11.6139029759516	16.9728527968001
21	SCT_0021	Processing	0.207110920354586	14.7647622523118	14.0923261236794
22	SCT_0022	Processing	-6.07954544348329	28.0918164840345	9.90035577220765
23	SCT_0023	Processing	-4.82646239571337	14.4076338890146	18.0891281021015
24	SCT_0024	Processing	-20.2577670160516	21.2348061233524	2.3749156201225
25	SCT_0025	Processing	-18.4095522435488	17.7934814019299	0.496880396328326
26	SCT_0026	Processing	-10.4641947310527	14.2306776558942	5.8000733094035
27	SCT_0027	Processing	-2.02813626763649	20.5077970970749	8.59742592713072
28	SCT_0028	Processing	-7.45403222056647	21.1478613504362	11.3692739205723
29	SCT_0029	Processing	-11.4011880801596	15.7031716261958	1.0355016781073
30	SCT_0030	Processing	18.472266913628	-6.43936217218267	5.62826026492113
31	SCT_0031	Processing	2.63846459709481	-1.31266377500855	11.6864650650792
32	SCT_0032	Processing	-11.8374998266713	23.5069219479708	7.85347612966326
33	SCT_0033	Processing	-10.419324862762	23.5722278736599	11.7490569615036
34	SCT_0034	Processing	-6.45660319156622	28.5087786308747	11.7599518599925
35	SCT_0035	Processing	-9.17478548668024	28.4506713781244	12.6964960990624
36	SCT_0036	Processing	0.216985006060745	20.0414789829525	19.8016385310485
37	SCT_0037	Processing	-11.8543657277763	26.9041747810294	17.016987476444
38	SCT_0038	Processing	-3.21831581692743	16.8445820277886	20.9131820699872
39	SCT_0039	Processing	-4.69383975275904	27.3162513464561	9.70149969423822
40	SCT_0040	Processing	-7.45676070018113	24.8217070107984	9.09841050936194
41	SCT_0041	Processing	-5.26719825958371	20.4121054504252	22.621236608083
42	SCT_0042	Processing	-3.6846367110814	16.8473004195027	21.8348939495953
43	SCT_0043	Processing	0.595280490869086	15.7230094685323	18.3624933748091
44	SCT_0044	Processing	-5.40902900859731	27.8297639765069	11.7643126247989
45	SCT_0045	Processing	-9.43837427913472	28.622670229189	12.1304940568597
46	SCT_0046	Processing	-6.39240205644065	28.0981302594715	11.7287731922852
47	SCT_0047	Processing	0.55102292335511	20.8324675075903	20.5270466856731
48	SCT_0048	Processing	-7.07492499082266	29.6255814798301	11.1158617435915
49	SCT_0049	Processing	-5.65115219488546	27.9340426617734	10.7875523020804
50	SCT_0050	Processing	-6.38990579671447	28.6830649143312	12.9403001107352
51	SCT_0051	Processing	-5.42740076100947	27.9412600161122	10.5450570625513
52	SCT_0052	Processing	-3.49132432635193	19.5079293249719	22.6173088895245
53	SCT_0053	Processing	1.92188933309978	19.9265899080372	20.6014478200727
54	SCT_0054	Processing	-8.71996827846081	28.61129494851	13.6109183277297
55	SCT_0055	Processing	-8.83762564055013	28.733921729094	11.0019858008994
56	SCT_0056	Processing	-6.32628864484232	28.1881715622044	11.2214841225646
57	SCT_0057	Processing	-2.10719158730126	23.5808665738977	6.79546650938186
58	SCT_0058	Processing	-3.67333173708168	17.2021715839245	20.4823274458383
59	SCT_0059	Processing	-6.05408005001916	27.3013106211326	11.0668525958945
60	SCT_0060	Processing	-6.1396650352334	28.4307125020058	12.3519241684191
61	SCT_0061	Processing	-5.72547588665338	28.3501778951659	12.4229868905
62	SCT_0062	Processing	-5.11331683572153	27.9584721602392	11.3434541803749
63	SCT_0063	Processing	-7.21989013451698	28.2399647911047	10.5135854616838
64	SCT_0064	Processing	-6.00767530619591	27.6560250163151	9.69745848916201
65	SCT_0065	Processing	-6.5695581703356	27.6082254057659	11.7671719281226
66	SCT_0066	Processing	-10.4583847351038	24.7244198497536	12.1119874368241
67	SCT_0067	Processing	-5.41435582281801	27.8673961157469	11.0783918962388
68	SCT_0068	Processing	0.270779396232647	16.7137341660024	17.9311100038191
69	SCT_0069	Processing	-0.669246397688914	17.8281345233016	19.1784386390906
70	SCT_0070	Processing	-7.52255924793868	27.2184449097504	13.3052608351634
71	SCT_0071	Processing	-3.71163668899711	16.8415556663543	21.3530138264187
72	SCT_0072	Processing	-4.18487918993366	24.2637819754891	9.24484530078504
73	SCT_0075	Processing	-4.76005028641117	24.6276839752689	15.9445916956124
